Project, Assigned Rule Writer, # of documents in URS image set, # of pages in URS image set,"Status of creating URS image set (NotStarted, InProgress, Done)", Total running time on quad-core machine, Processor speed of quad-core machine in GHz, RAM (in GB) of quad-core machine, Name of quad-core machine used for testing
NC - Halifax Backfile - Cott,,,,,,,,
NC - Iredell - Cott,,,,,,,,
NC - Lee - Logan,,,,,,,,
NC - Lenoir - Cott,,,,,,,,
NC - Martin - Logan,,,,,,,,
NC - Pitt - Cott,,,,,,,,
NC - Rowan - Cott,,,,,,,,
NC - UC,,,,,,,,
NC - Union - Logan,,,,,,,,
NC - Vance - Logan,,,,,,,,
NC - Warren - Logan,,,,,,,,
NE - SOS,,,,,,,,
NM - Bernalillo - US Imaging,,,,,,,,
NM - Chaves - PDS,,,,,,,,
NM - Colfax - PDS,,,,,,,,
NM - Dona Ana - PDS,,,,,,,,
NV - Clark,,,,,,,,
NV - Douglas - AtPac,,,,,,,,
NV - Secretary of State,,,,,,,,
NV - Washoe - AtPac,,,,,,,,
NY - Chenango - Cott,,,,,,,,
NY - Rockland - Cott,,,,,,,,
NY - Secretary of State - eBiz,,,,,,,,
OH - Ashtabula - Results Engineering,,,,,,,,
OH - Belmont - Results Engineering,,,,,,,,
OH - Belmont Probate - Results Engineering,,,,,,,,
OH - Canton Municipal Court,,,,,,,,
OH - Clermont - ACS,,,,,,,,
OH - Clinton - Cott,,,,,,,,
OH - Columbiana - Cott,,,,,,,,
OH - Cuyahoga Probate Court - Proware,,,,,,,,
OH - Lucas - CASNET - Clerk,,,,,,,,
OH - Lucas - CASNET - Recorder Back File,,,,,,,,
OH - Lucas - CASNET - Recorder Day Forward,,,,,,,,
OH - Montgomery,,,,,,,,
OH - Montgomery Clerk,,,,,,,,
OH - Montgomery Probate,,,,,,,,
OH - Montgomery Recorder Backfile,,,,,,,,
OH - Montgomery Recorder Day Forward,,,,,,,,
OH - Muskingum - Cott,,,,,,,,
OH - Muskingum - Cott - Dayforward,,,,,,,,
OH - Richland - ACS,,,,,,,,
OH - Toledo Municipal Court,,,,,,,,
OH - Wood - Results Engineering,,,,,,,,
OR - Marion - ACS,,,,,,,,
Old Republic Title,,,,,,,,
PA - Adams - Cott,,,,,,,,
PA - Adams - Cott - Orphans,,,,,,,,
PA - Allegheny,,,,,,,,
PA - Allegheny - Civil_Family,,,,,,,,
PA - Allegheny - Criminal,,,,,,,,
PA - Allegheny - LandRecords - Xerox,,,,,,,,
PA - Allegheny - Wills_Orphans,,,,,,,,
PA - Carbon,,,,,,,,
PA - Centre - IQS,,,,,,,,
PA - Fayette - ACS,,,,,,,,
PA - Lehigh - IMR,,,,,,,,
PA - Mercer - Cott,,,,,,,,
PA - Pike - ACS,,,,,,,,
PA - Schuylkill - ACS,,,,,,,,
PA - Wayne - ACS,,,,,,,,
PA - York,,,,,,,,
PA - York - GGS,,,,,,,,
POC - FirmSolutions,,,,,,,,
PR - DOS - FileOne,,,,,,,,
Roof Guys, The,,,,,,,
SC - Secretary of State - NIC,,,,,,,,
SC - York - ACS,,,,,,,,
Sessoms & Rogers,,,,,,,,
TX - Dallas - TCUC,,,,,,,,
TX - GoForward - ACS,,,,,,,,
TX - Harris,,,,,,,,
TX - Johnson - ACS,,,,,,,,
TX - Panola - ACS,,,,,,,,
TX - Potter - DA,,,,,,,,
TX - Rockwall - ACS,,,,,,,,
TX - Tarrant - Xerox,,,,,,,,
TX - Travis - DistrictClerk,,,,,,,,
TX - Travis - ImageSoft,,,,,,,,
TX - Wharton - Cott,,,,,,,,
Utah - Department of Commerce,,,,,,,,
Utah - Department of Commerce - Non-UCC,,,,,,,,
VA - Albemarle - Cott,,,,,,,,
VA - Amherst - Cott,,,,,,,,
VA - Chesterfield - Logan Systems,,,,,,,,
VA - Fairfax,,,,,,,,
VA - Fauquier - Cott,,,,,,,,
VA - Judgments - Logan,,,,,,,,
VA - Louisa - Cott,,,,,,,,
VA - Martinsville - Unity Business Systems,,,,,,,,
VA - Non-Judgments - Logan,,,,,,,,
VA - Non-Judgments Backfile - Logan,,,,,,,,
VA - Richmond - Cott,,,,,,,,
VA - Roanoke - Logan,,,,,,,,
VA - Rockingham Judgments - ACS,,,,,,,,
VA - Rockingham Non-Judgments - ACS,,,,,,,,
VA - Scott - BIS,,,,,,,,
VA - State Rules - Cott,,,,,,,,
VA - State Rules - Logan,,,,,,,,
VA - Westmoreland - Cott,,,,,,,,
VA - Westmoreland - DayForward - Cott,,,,,,,,
VA - York - Unity Business Systems,,,,,,,,
VA - York - Unity Business Systems - Backfile,,,,,,,,
WI - District - TriMin,,,,,,,,
WI - Grant - ACS,,,,,,,,
WI - Jefferson,,,,,,,,
WI - Monroe - ACS,,,,,,,,
WI - Outagamie - Trimin,,,,,,,,
WV - Nicholas - Cott,,,,,,,,
WV - Putnam - Cott,,,,,,,,
WV - SOS,,,,,,,,
WY - Converse - Tyler,,,,,,,,
iDocket,,,,,,,,
